Zone     Average Eps            Average K              sdev Eps          sdev K            Skewness          Volume                 Density           Continuity Error    Global Cont Error
ID       (m^2/s^3)              (m^2/s^2)              (m^2/s^3)         (m^2/s^2)                           (m^3)                  (kg/m^3)          (kg/s)              (kg/s)
0        8.9459106985966e-03    1.2156551813457e-03    4.02173963e-02    1.89240642e-03    1.04338763e+01    3.0470329386984e-03    9.98200000e+02    -2.79597920e-09    -4.95207024e-09
1        6.9445210810925e-06    4.8422478587758e-07    1.39022746e-05    9.52632394e-07    1.82214582e+01    1.1227383502558e-07    9.98200000e+02    +3.46026030e-11
2        1.7382669518686e-05    9.9059760443883e-07    2.36665118e-05    1.44319236e-06    4.30827024e+00    1.1184007098083e-07    9.98200000e+02    -8.22546743e-11
3        2.1648319075985e-03    2.6474878008764e-04    2.25769709e-03    2.75940926e-04    1.36762584e+00    5.5543960524200e-09    9.98200000e+02    +8.89585855e-11
4        7.7560628063995e-02    5.1056923186973e-03    7.24507983e-02    3.89385018e-03    8.62435854e-01    1.0624060333514e-07    9.98200000e+02    +7.24300908e-10
5        1.6479095473857e-04    1.6311829694349e-05    1.74363025e-04    1.59740738e-05    4.38572700e+00    2.7310821506000e-09    9.98200000e+02    +8.68134546e-12
6        2.0025378622600e-04    1.0594244669264e-05    6.74186897e-05    4.70796398e-06    9.95958634e-01    4.8950763190000e-11    9.98200000e+02    +4.99099999e-13
7        1.3747843293617e-01    8.8021726866853e-03    9.71749099e-02    4.48336014e-03    8.27648153e-01    6.3353959229639e-07    9.98200000e+02    +4.62837390e-09
8        8.8637809039751e-02    7.3318855352635e-03    6.48707480e-02    3.43874139e-03    1.61888903e+00    4.7064825994435e-07    9.98200000e+02    -5.27679164e-09
9        6.0529370072886e-02    5.2652982105342e-03    9.21835126e-02    3.65194698e-03    3.27894487e+00    3.1764573429983e-06    9.98200000e+02    +9.28306035e-09
10       4.6789714602771e-02    5.4538405453697e-03    3.25018449e-02    2.26442030e-03    1.80890199e+00    1.1923250562644e-06    9.98200000e+02    -1.15782006e-08
11       4.0757898539648e-05    1.9958275391214e-06    1.09069411e-05    7.43414285e-07    6.06653341e-01    1.3719109790000e-11    9.98200000e+02    -1.76681400e-13
12       1.8652145777765e-04    1.2926029173227e-05    1.11365464e-04    7.71458248e-06    2.41125031e+00    1.2276411365000e-10    9.98200000e+02    -5.39028000e-12
13       3.5774449329354e-03    4.1547905829316e-04    1.40404822e-03    1.41988135e-04    2.35232990e+00    8.0707209320000e-10    9.98200000e+02    -5.90135840e-11
14       3.1319733973963e-02    4.4429939271171e-03    2.95692941e-02    1.93849079e-03    2.83973538e+00    1.6047084930700e-06    9.98200000e+02    -4.60769120e-09
15       9.4364974245372e-05    4.6134454661175e-06    4.39015451e-05    2.43472044e-06    8.43413488e-01    1.3452232170000e-11    9.98200000e+02    +2.19604000e-13
16       1.7545154909082e-04    1.0876632189424e-05    8.35256533e-05    6.29715842e-06    1.11868346e+00    2.1753320110000e-11    9.98200000e+02    +4.69154001e-13
17       1.0314620172934e-01    7.5526143375082e-03    1.02507363e-01    4.20457293e-03    2.28448548e+00    1.1765844814580e-06    9.98200000e+02    +6.50936203e-09
18       1.0476507772094e-04    6.4344357025383e-06    2.04082126e-05    1.35998669e-06    1.88735402e-01    1.7342337880000e-11    9.98200000e+02    +2.83688440e-12
19       9.8942126878420e-05    4.8876458712533e-06    1.98218699e-05    1.01295835e-06    6.82542368e-01    1.1921751920000e-11    9.98200000e+02    -1.99640000e-13
20       1.7910817958265e-04    4.2964050489614e-06    2.36947636e-05    4.67513373e-07    4.96741997e-01    9.8201475800000e-12    9.98200000e+02    +2.99460000e-13
21       4.7798332542952e-05    3.0395380320306e-06    2.78599267e-06    2.44643563e-07    6.67995852e-01    1.0255840500000e-11    9.98200000e+02    -1.39748000e-12
22       1.3841675085094e-04    8.3102449580040e-06    6.21932588e-05    5.46439118e-06    1.18343638e+00    4.1872730920000e-10    9.98200000e+02    -3.42682063e-12
23       2.9611980418698e-04    1.7809792899371e-05    2.19841984e-04    1.43629793e-05    3.11617758e+00    9.9092879937000e-10    9.98200000e+02    +1.36174444e-11
24       5.6396307835624e-02    5.0266648552667e-03    9.15223864e-02    3.51045451e-03    3.73372803e+00    3.5448562541252e-06    9.98200000e+02    -5.16190582e-09
25       1.0407460552821e-01    7.2667462328343e-03    9.04396606e-02    4.25802417e-03    1.66850981e+00    8.0756644499818e-07    9.98200000e+02    -2.19577447e-09
26       2.6059906908266e-02    1.9742819134029e-03    3.41109213e-02    2.24883693e-03    1.18182956e+00    2.3974370755540e-08    9.98200000e+02    +1.48221622e-10
27       8.5601382872218e-05    7.6278213524591e-06    6.48469301e-05    6.07860493e-06    1.75427779e+00    5.5894467234000e-10    9.98200000e+02    +4.35215200e-11
